timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
1510917490740,1000,2,200,OK,线程组 1-1,text,true,,114,0,20,20,36,0,1
1510917490782,999,2,200,OK,线程组 1-2,text,true,,114,0,20,20,9,0,5
1510917490839,999,2,200,OK,线程组 1-3,text,true,,114,0,20,20,34,0,1
1510917490888,1000,2,200,OK,线程组 1-4,text,true,,114,0,20,20,7,0,3
1510917490940,999,2,200,OK,线程组 1-5,text,true,,114,0,20,20,10,0,2
1510917490983,1000,2,200,OK,线程组 1-6,text,true,,114,0,20,20,36,0,2
1510917491038,999,2,200,OK,线程组 1-7,text,true,,114,0,20,20,16,0,2
1510917491089,1000,2,200,OK,线程组 1-8,text,true,,114,0,20,20,47,0,5
1510917491140,1000,2,200,OK,线程组 1-9,text,true,,114,0,20,20,2,0,2
1510917491187,1000,2,200,OK,线程组 1-10,text,true,,114,0,20,20,25,0,4
1510917491238,1000,2,200,OK,线程组 1-11,text,true,,114,0,20,20,6,0,3
1510917491289,999,2,200,OK,线程组 1-12,text,true,,114,0,20,20,18,0,2
1510917491339,999,2,200,OK,线程组 1-13,text,true,,114,0,20,20,39,0,2
1510917491388,999,2,200,OK,线程组 1-14,text,true,,114,0,20,20,14,0,4
1510917491439,999,2,200,OK,线程组 1-15,text,true,,114,0,20,20,23,0,3
1510917491489,999,2,200,OK,线程组 1-16,text,true,,114,0,20,20,30,0,2
1510917491539,999,2,200,OK,线程组 1-17,text,true,,114,0,20,20,39,0,1
1510917491587,999,2,200,OK,线程组 1-18,text,true,,114,0,20,20,33,0,2
1510917491639,999,2,200,OK,线程组 1-19,text,true,,114,0,20,20,17,0,5
1510917491690,1000,2,200,OK,线程组 1-20,text,true,,114,0,20,20,41,0,1
1510917491744,999,2,200,OK,线程组 1-1,text,true,,114,0,20,20,32,0,4
1510917491782,1000,2,200,OK,线程组 1-2,text,true,,114,0,20,20,22,0,5
1510917491841,999,2,200,OK,线程组 1-3,text,true,,114,0,20,20,25,0,4
1510917491889,1000,2,200,OK,线程组 1-4,text,true,,114,0,20,20,50,0,4
1510917491941,999,2,200,OK,线程组 1-5,text,true,,114,0,20,20,23,0,2
1510917491984,1000,2,200,OK,线程组 1-6,text,true,,114,0,20,20,3,0,3
1510917492044,1000,2,200,OK,线程组 1-7,text,true,,114,0,20,20,33,0,5
1510917492090,999,2,200,OK,线程组 1-8,text,true,,114,0,20,20,18,0,5
1510917492141,1000,2,200,OK,线程组 1-9,text,true,,114,0,20,20,8,0,3
1510917492189,1000,2,200,OK,线程组 1-10,text,true,,114,0,20,20,24,0,3
1510917492239,1000,2,200,OK,线程组 1-11,text,true,,114,0,20,20,27,0,3
1510917492290,1000,2,200,OK,线程组 1-12,text,true,,114,0,20,20,39,0,4
1510917492340,1000,2,200,OK,线程组 1-13,text,true,,114,0,20,20,40,0,4
1510917492389,1000,2,200,OK,线程组 1-14,text,true,,114,0,20,20,34,0,1
1510917492440,1000,2,200,OK,线程组 1-15,text,true,,114,0,20,20,4,0,4
1510917492492,999,2,200,OK,线程组 1-16,text,true,,114,0,20,20,10,0,3
1510917492542,1000,2,200,OK,线程组 1-17,text,true,,114,0,20,20,6,0,4
1510917492588,999,2,200,OK,线程组 1-18,text,true,,114,0,20,20,38,0,3
1510917492640,999,2,200,OK,线程组 1-19,text,true,,114,0,20,20,45,0,2
1510917492691,1000,2,200,OK,线程组 1-20,text,true,,114,0,20,20,36,0,3
1510917492744,999,2,200,OK,线程组 1-1,text,true,,114,0,20,20,2,0,2
1510917492783,999,2,200,OK,线程组 1-2,text,true,,114,0,20,20,2,0,2
1510917492841,1000,2,200,OK,线程组 1-3,text,true,,114,0,20,20,33,0,5
1510917492890,999,2,200,OK,线程组 1-4,text,true,,114,0,20,20,35,0,4
1510917492941,999,2,200,OK,线程组 1-5,text,true,,114,0,20,20,31,0,2
1510917492985,999,2,200,OK,线程组 1-6,text,true,,114,0,20,20,21,0,3
1510917493045,1000,2,200,OK,线程组 1-7,text,true,,114,0,20,20,41,0,5
1510917493090,999,2,200,OK,线程组 1-8,text,true,,114,0,20,20,37,0,1
1510917493142,999,2,200,OK,线程组 1-9,text,true,,114,0,20,20,10,0,3
1510917493190,999,2,200,OK,线程组 1-10,text,true,,114,0,20,20,2,0,4
1510917493240,999,2,200,OK,线程组 1-11,text,true,,114,0,20,20,25,0,1
1510917493291,999,2,200,OK,线程组 1-12,text,true,,114,0,20,20,21,0,3
1510917493341,999,2,200,OK,线程组 1-13,text,true,,114,0,20,20,46,0,4
1510917493390,1000,2,200,OK,线程组 1-14,text,true,,114,0,20,20,5,0,5
1510917493441,999,2,200,OK,线程组 1-15,text,true,,114,0,20,20,6,0,5
1510917493492,999,2,200,OK,线程组 1-16,text,true,,114,0,20,20,39,0,3
1510917493543,999,2,200,OK,线程组 1-17,text,true,,114,0,20,20,46,0,4
1510917493589,999,2,200,OK,线程组 1-18,text,true,,114,0,20,20,36,0,1
1510917493640,1000,2,200,OK,线程组 1-19,text,true,,114,0,20,20,6,0,5
1510917493692,1000,2,200,OK,线程组 1-20,text,true,,114,0,20,20,15,0,3
1510917493744,1000,2,200,OK,线程组 1-1,text,true,,114,0,20,20,44,0,2
1510917493783,1000,2,200,OK,线程组 1-2,text,true,,114,0,20,20,42,0,5
1510917493842,1000,2,200,OK,线程组 1-3,text,true,,114,0,20,20,7,0,4
1510917493890,999,2,200,OK,线程组 1-4,text,true,,114,0,20,20,34,0,1
1510917493941,999,2,200,OK,线程组 1-5,text,true,,114,0,20,20,35,0,3
1510917493985,999,2,200,OK,线程组 1-6,text,true,,114,0,20,20,42,0,2
1510917494046,999,2,200,OK,线程组 1-7,text,true,,114,0,20,20,5,0,5
