timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
1510750750558,1000,2,200,OK,线程组 1-1,text,true,,114,0,20,20,10,0,3
1510750750589,999,2,200,OK,线程组 1-2,text,true,,114,0,20,20,41,0,3
1510750750640,999,2,200,OK,线程组 1-3,text,true,,114,0,20,20,40,0,4
1510750750689,999,2,200,OK,线程组 1-4,text,true,,114,0,20,20,35,0,5
1510750750739,1000,2,200,OK,线程组 1-5,text,true,,114,0,20,20,27,0,1
1510750750790,1000,2,200,OK,线程组 1-6,text,true,,114,0,20,20,33,0,5
1510750750840,999,2,200,OK,线程组 1-7,text,true,,114,0,20,20,23,0,2
1510750750899,1000,2,200,OK,线程组 1-8,text,true,,114,0,20,20,13,0,1
1510750750948,1000,2,200,OK,线程组 1-9,text,true,,114,0,20,20,13,0,3
1510750750995,1000,2,200,OK,线程组 1-10,text,true,,114,0,20,20,38,0,5
1510750751046,1000,2,200,OK,线程组 1-11,text,true,,114,0,20,20,37,0,2
1510750751100,999,2,200,OK,线程组 1-12,text,true,,114,0,20,20,6,0,5
1510750751148,1000,2,200,OK,线程组 1-13,text,true,,114,0,20,20,38,0,5
1510750751195,999,2,200,OK,线程组 1-14,text,true,,114,0,20,20,36,0,4
1510750751245,999,2,200,OK,线程组 1-15,text,true,,114,0,20,20,37,0,4
1510750751301,999,2,200,OK,线程组 1-16,text,true,,114,0,20,20,5,0,4
1510750751349,999,2,200,OK,线程组 1-17,text,true,,114,0,20,20,12,0,5
1510750751398,999,2,200,OK,线程组 1-18,text,true,,114,0,20,20,37,0,2
1510750751447,999,2,200,OK,线程组 1-19,text,true,,114,0,20,20,6,0,5
1510750751501,999,2,200,OK,线程组 1-20,text,true,,114,0,20,20,48,0,3
1510750751562,999,2,200,OK,线程组 1-1,text,true,,114,0,20,20,48,0,2
1510750751589,999,2,200,OK,线程组 1-2,text,true,,114,0,20,20,9,0,2
1510750751640,999,2,200,OK,线程组 1-3,text,true,,114,0,20,20,23,0,5
1510750751689,999,2,200,OK,线程组 1-4,text,true,,114,0,20,20,15,0,5
1510750751740,999,2,200,OK,线程组 1-5,text,true,,114,0,20,20,6,0,5
1510750751791,999,2,200,OK,线程组 1-6,text,true,,114,0,20,20,32,0,1
1510750751840,999,2,200,OK,线程组 1-7,text,true,,114,0,20,20,10,0,3
1510750751900,999,2,200,OK,线程组 1-8,text,true,,114,0,20,20,31,0,2
1510750751949,999,2,200,OK,线程组 1-9,text,true,,114,0,20,20,4,0,5
1510750751996,999,2,200,OK,线程组 1-10,text,true,,114,0,20,20,8,0,2
1510750752047,999,2,200,OK,线程组 1-11,text,true,,114,0,20,20,31,0,5
1510750752100,999,2,200,OK,线程组 1-12,text,true,,114,0,20,20,32,0,1
1510750752149,999,2,200,OK,线程组 1-13,text,true,,114,0,20,20,46,0,1
